client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score
C0348,Individual,Female,UK,Europe,1992-12-19,Investment,No,Property Portal,4
C0349,Corporate,Male,Saudi Arabia,Middle East,1980-11-25,Investment,No,Property Portal,5
C0350,Individual,Female,India,Asia,1989-02-02,Personal Use,Yes,Social Media,2
C0351,Corporate,Male,India,Asia,1988-08-27,Investment,Yes,Property Portal,5
C0352,Individual,Female,USA,North America,1972-08-27,Investment,No,Property Portal,5
C0353,Individual,Female,India,Asia,1993-06-07,Personal Use,Yes,Referral,2
C0354,Corporate,Female,India,Asia,1977-01-15,Investment,No,Referral,5
C0355,Individual,Male,Australia,Oceania,1980-03-15,Investment,No,Walk-in,4
C0356,Individual,Female,India,Asia,1995-01-14,Personal Use,No,Referral,2
C0357,Individual,Male,UAE,Middle East,1986-10-04,Investment,Yes,Referral,3
C0358,Corporate,Female,UAE,Middle East,1967-12-20,Investment,No,Referral,3
C0359,Individual,Male,UK,Europe,1969-05-26,Investment,No,Referral,5
C0360,Individual,Female,India,Asia,1997-11-24,Personal Use,Yes,Social Media,3
C0361,Individual,Male,Singapore,Asia,1981-12-15,Investment,No,Walk-in,3
C0362,Individual,Female,India,Asia,1995-07-19,Personal Use,No,Social Media,3
C0363,Individual,Male,Canada,North America,1988-08-11,Investment,No,Social Media,3
C0364,Individual,Male,UK,Europe,1969-12-31,Investment,No,Broker,5
C0365,Corporate,Female,Canada,North America,1972-12-01,Investment,Yes,Property Portal,4
C0366,Individual,Male,India,Asia,1988-10-24,Personal Use,Yes,Broker,3
C0367,Individual,Female,UK,Europe,1977-04-01,Investment,Yes,Referral,4
C0368,Individual,Female,UK,Europe,1970-03-21,Investment,No,Broker,3
C0369,Individual,Female,India,Asia,1995-09-30,Personal Use,No,Property Portal,3
C0370,Individual,Male,Australia,Oceania,1995-01-05,Personal Use,Yes,Website,3
C0371,Individual,Female,India,Asia,2002-11-07,Personal Use,Yes,Walk-in,4
C0372,Individual,Male,UK,Europe,1974-06-07,Investment,No,Referral,5
C0373,Corporate,Male,Canada,North America,1976-01-29,Investment,Yes,Walk-in,3
C0374,Individual,Female,USA,North America,1975-10-17,Investment,Yes,Walk-in,4
C0375,Individual,Male,India,Asia,1996-09-23,Personal Use,No,Website,3
C0376,Individual,Female,Qatar,Middle East,1978-05-14,Investment,No,Walk-in,5
C0377,Individual,Male,Saudi Arabia,Middle East,1970-10-14,Investment,No,Property Portal,5
C0378,Corporate,Male,India,Asia,1973-08-31,Investment,No,Property Portal,4
C0379,Individual,Male,Singapore,Asia,1973-07-29,Investment,No,Property Portal,5
C0380,Individual,Male,UK,Europe,1990-01-12,Personal Use,Yes,Social Media,2
C0381,Corporate,Female,Saudi Arabia,Middle East,1978-05-18,Investment,No,Website,5
C0382,Corporate,Male,India,Asia,1979-12-28,Investment,No,Broker,3
C0383,Individual,Male,USA,North America,1967-11-20,Investment,No,Property Portal,5
C0384,Individual,Female,Qatar,Middle East,1979-12-04,Investment,No,Website,5
C0385,Individual,Male,Germany,Europe,1985-04-05,Investment,Yes,Referral,3
C0386,Individual,Female,UAE,Middle East,1965-08-16,Investment,No,Social Media,5
C0387,Individual,Male,UK,Europe,1961-06-11,Investment,No,Referral,5
C0388,Individual,Male,UAE,Middle East,1997-04-13,Personal Use,Yes,Referral,2
C0389,Individual,Female,Saudi Arabia,Middle East,1975-12-22,Investment,No,Website,5
C0390,Individual,Male,India,Asia,1996-01-10,Personal Use,Yes,Website,3
C0391,Individual,Female,Canada,North America,1980-10-02,Investment,No,Website,4
C0392,Individual,Female,India,Asia,1997-12-02,Personal Use,Yes,Property Portal,2
C0393,Corporate,Male,Singapore,Asia,1982-06-21,Investment,Yes,Property Portal,5
C0394,Individual,Female,Saudi Arabia,Middle East,1970-03-12,Investment,No,Broker,3
C0395,Corporate,Female,Canada,North America,1979-08-28,Investment,No,Property Portal,4
C0396,Corporate,Male,UAE,Middle East,1974-01-23,Investment,No,Referral,5
C0397,Individual,Female,Saudi Arabia,Middle East,1969-07-02,Investment,No,Property Portal,4
C0398,Individual,Female,India,Asia,1951-11-01,Investment,No,Property Portal,5
C0399,Individual,Male,USA,North America,1978-07-06,Investment,No,Referral,4
C0400,Individual,Male,India,Asia,2000-02-04,Personal Use,Yes,Property Portal,4
C0401,Individual,Male,Singapore,Asia,1968-06-14,Investment,No,Property Portal,5
C0402,Corporate,Male,UK,Europe,1977-04-06,Investment,Yes,Website,5
C0403,Individual,Female,USA,North America,1994-03-03,Personal Use,Yes,Social Media,3
C0404,Individual,Male,USA,North America,1971-04-19,Investment,No,Referral,5
C0405,Individual,Male,UAE,Middle East,1978-11-22,Investment,No,Broker,5
C0406,Individual,Male,UAE,Middle East,1993-09-14,Personal Use,Yes,Property Portal,3
C0407,Individual,Male,Singapore,Asia,1987-03-29,Investment,No,Broker,3
C0408,Corporate,Female,Singapore,Asia,1977-05-11,Investment,No,Broker,4
C0409,Individual,Male,Qatar,Middle East,1967-06-29,Investment,No,Website,5
C0410,Individual,Female,USA,North America,1984-06-07,Investment,Yes,Property Portal,3
C0411,Individual,Female,UK,Europe,1995-08-09,Personal Use,Yes,Referral,3
C0412,Corporate,Male,India,Asia,1980-09-27,Investment,No,Broker,5
C0413,Individual,Male,USA,North America,1995-01-23,Personal Use,Yes,Referral,3
C0414,Corporate,Female,UAE,Middle East,1981-08-12,Investment,No,Property Portal,4
C0415,Individual,Male,India,Asia,2001-03-30,Personal Use,No,Referral,4
C0416,Corporate,Male,Qatar,Middle East,1972-11-03,Investment,No,Walk-in,4
C0417,Individual,Male,Qatar,Middle East,1966-11-24,Investment,No,Website,5
C0418,Individual,Female,India,Asia,2000-10-27,Personal Use,No,Property Portal,4
C0419,Individual,Male,India,Asia,1988-11-25,Personal Use,Yes,Property Portal,3
C0420,Individual,Male,USA,North America,1979-03-02,Investment,No,Walk-in,3
C0421,Corporate,Female,Germany,Europe,1979-10-29,Investment,Yes,Property Portal,5
C0422,Individual,Male,USA,North America,1968-10-17,Investment,No,Referral,5
C0423,Individual,Male,UAE,Middle East,1996-07-11,Personal Use,No,Social Media,3
C0424,Individual,Male,UAE,Middle East,1973-11-18,Investment,No,Property Portal,5
C0425,Individual,Female,Germany,Europe,1987-08-15,Investment,No,Website,4
C0426,Individual,Female,Singapore,Asia,1959-09-06,Investment,No,Broker,5
C0427,Individual,Male,Singapore,Asia,1977-12-07,Investment,No,Referral,3
C0428,Individual,Female,UAE,Middle East,1983-03-16,Investment,No,Property Portal,4
C0429,Corporate,Male,India,Asia,1977-03-01,Investment,No,Referral,4
C0430,Individual,Female,UAE,Middle East,1987-09-24,Investment,Yes,Property Portal,3
C0431,Individual,Male,India,Asia,1993-08-13,Personal Use,No,Referral,3
C0432,Individual,Male,Australia,Oceania,1995-06-10,Personal Use,Yes,Referral,3
C0433,Individual,Female,India,Asia,2004-10-14,Personal Use,Yes,Social Media,3
C0434,Corporate,Male,UK,Europe,1982-05-23,Investment,Yes,Website,4
C0435,Corporate,Male,India,Asia,1969-09-11,Investment,No,Broker,4
C0436,Individual,Male,Saudi Arabia,Middle East,1970-12-28,Investment,No,Referral,4
C0437,Corporate,Male,UAE,Middle East,1967-05-23,Investment,No,Referral,4
C0438,Individual,Female,USA,North America,1986-11-02,Investment,No,Broker,3
C0439,Individual,Female,Saudi Arabia,Middle East,1977-05-08,Investment,No,Referral,4
C0440,Individual,Male,UAE,Middle East,1991-08-08,Personal Use,Yes,Broker,3
C0441,Corporate,Male,India,Asia,1977-02-09,Investment,Yes,Broker,3
C0442,Individual,Male,UK,Europe,1960-12-19,Investment,No,Referral,5
C0443,Corporate,Male,Saudi Arabia,Middle East,1984-02-14,Investment,Yes,Walk-in,4
C0444,Individual,Male,UK,Europe,1970-06-09,Investment,No,Walk-in,5
C0445,Individual,Male,USA,North America,1995-09-25,Personal Use,Yes,Social Media,3
C0446,Individual,Female,USA,North America,1971-02-02,Investment,No,Property Portal,5
C0447,Corporate,Female,UK,Europe,1975-06-20,Investment,No,Broker,4
C0448,Individual,Male,Singapore,Asia,1987-06-11,Investment,No,Referral,3
C0449,Corporate,Male,UK,Europe,1967-04-25,Investment,Yes,Broker,5
C0450,Individual,Male,India,Asia,1997-06-19,Personal Use,Yes,Broker,3
C0451,Corporate,Female,India,Asia,1973-11-14,Investment,No,Social Media,4
C0452,Corporate,Male,Qatar,Middle East,1966-08-14,Investment,No,Broker,4
C0453,Individual,Male,India,Asia,1992-02-19,Personal Use,Yes,Property Portal,4
C0454,Individual,Male,Saudi Arabia,Middle East,1977-05-02,Investment,No,Property Portal,5
C0455,Individual,Female,Canada,North America,1998-06-06,Personal Use,No,Property Portal,3
C0456,Individual,Female,Qatar,Middle East,1979-10-02,Investment,No,Broker,5
C0457,Corporate,Female,Canada,North America,1974-04-03,Investment,Yes,Property Portal,5
C0458,Individual,Male,India,Asia,1972-01-30,Investment,No,Website,5
C0459,Individual,Male,Canada,North America,1990-03-13,Investment,No,Referral,4
C0460,Individual,Male,India,Asia,1996-07-10,Personal Use,Yes,Property Portal,4
C0461,Individual,Female,Singapore,Asia,1963-12-24,Investment,No,Property Portal,5
C0462,Individual,Male,Singapore,Asia,1968-11-29,Investment,No,Broker,4
C0463,Corporate,Female,Qatar,Middle East,1973-08-02,Investment,No,Referral,5
C0464,Corporate,Male,USA,North America,1988-10-28,Investment,No,Referral,4
C0465,Individual,Female,Germany,Europe,1969-05-01,Investment,No,Broker,3
C0466,Individual,Female,India,Asia,1995-09-20,Personal Use,Yes,Referral,3
C0467,Individual,Female,Singapore,Asia,1984-12-30,Investment,No,Referral,4
C0468,Individual,Female,UK,Europe,1991-03-18,Investment,No,Referral,4
C0469,Individual,Female,Germany,Europe,1984-01-06,Investment,No,Property Portal,4
C0470,Individual,Female,USA,North America,1997-10-28,Personal Use,No,Property Portal,3
C0471,Individual,Male,UK,Europe,1968-04-15,Investment,No,Property Portal,5
C0472,Individual,Male,India,Asia,1995-12-30,Personal Use,Yes,Property Portal,3
C0473,Individual,Female,UK,Europe,1977-11-23,Investment,No,Website,5
C0474,Individual,Male,Qatar,Middle East,1997-01-14,Personal Use,Yes,Website,3
C0475,Individual,Male,UAE,Middle East,1991-12-06,Investment,No,Broker,3
C0476,Individual,Male,USA,North America,1978-04-11,Investment,No,Property Portal,3
C0477,Individual,Male,India,Asia,1993-01-20,Personal Use,Yes,Referral,3
C0478,Individual,Male,Qatar,Middle East,1995-09-26,Investment,No,Walk-in,3
C0479,Individual,Male,India,Asia,2000-02-24,Personal Use,Yes,Property Portal,4
C0480,Individual,Male,Singapore,Asia,1986-02-13,Investment,No,Website,4
C0481,Corporate,Male,UAE,Middle East,1990-06-29,Investment,Yes,Broker,5
C0482,Individual,Male,Germany,Europe,2001-10-23,Personal Use,Yes,Property Portal,4
C0483,Corporate,Male,UK,Europe,1962-09-20,Investment,No,Referral,4
C0484,Individual,Male,UK,Europe,1984-06-26,Investment,No,Property Portal,3
C0485,Corporate,Female,Qatar,Middle East,1968-02-02,Investment,No,Broker,5
C0486,Individual,Male,UAE,Middle East,1973-05-06,Investment,No,Property Portal,5
C0487,Individual,Male,UAE,Middle East,1985-02-09,Personal Use,Yes,Website,3
C0488,Individual,Female,UK,Europe,1978-09-27,Investment,No,Social Media,3
C0489,Individual,Male,Saudi Arabia,Middle East,1965-08-14,Investment,No,Referral,5
C0490,Individual,Male,UAE,Middle East,1968-04-05,Investment,No,Referral,5
C0491,Individual,Male,Saudi Arabia,Middle East,1973-08-19,Investment,No,Website,5
C0492,Individual,Female,UK,Europe,1973-11-23,Investment,No,Social Media,4
C0493,Individual,Male,UAE,Middle East,1982-04-23,Investment,No,Website,3
C0494,Individual,Female,Singapore,Asia,1998-04-16,Personal Use,Yes,Broker,4
C0495,Individual,Female,India,Asia,1997-02-02,Personal Use,Yes,Broker,4
C0496,Individual,Male,Qatar,Middle East,1962-07-10,Investment,No,Broker,5
C0497,Individual,Male,India,Asia,1996-01-16,Personal Use,Yes,Social Media,3
C0498,Individual,Female,USA,North America,1997-05-10,Personal Use,Yes,Property Portal,3
C0499,Corporate,Female,India,Asia,1981-10-22,Investment,Yes,Property Portal,5
C0500,Individual,Male,India,Asia,1999-03-19,Personal Use,Yes,Social Media,3
